,Unnamed: 0,거주유형,거래방식,거주유형.1,시세,스펙,위치,lat,lon
0,0,일반원룸,월세,원룸,"2,000/65","41/41m², 2/4층, 북동향",갈월동,37.5398,126.9673
1,1,일반원룸,월세,원룸,"2,000/40","32/27m², 저/4층, 북향",갈월동,37.5398,126.9673
2,2,다가구,월세,단독/다가구,"1,000/75","61/30m², 2/3층, 남향",갈월동,37.5398,126.9673
3,3,디아뜨센트럴 1동,월세,오피스텔,1억/30,"49A/25m², 고/15층, 남서향",갈월동,37.5398,126.9673
4,4,디아뜨센트럴 1동,월세,오피스텔,"1,000/65","50C/25m², 저/15층, 남동향",갈월동,37.5398,126.9673
5,5,디아뜨센트럴 1동,월세,오피스텔,"1,000/65","50C/25m², 13/15층, 남동향",갈월동,37.5398,126.9673
6,6,용산더프라임(주상복합) 103동,월세,아파트,"3,000/180","54/38m², 저/36층, 남향",갈월동,37.5398,126.9673
7,7,일반원룸,월세,원룸,"1,000/45","28/28m², 1/4층, 북동향",갈월동,37.5398,126.9673
8,8,일반원룸,월세,원룸,"1,000/45","18/18m², 2/3층, 남동향",갈월동,37.5398,126.9673
9,9,디아뜨센트럴 1동,월세,오피스텔,"1억 7,000/22","73/37m², 중/15층, 서향",갈월동,37.5398,126.9673
10,10,일반원룸,월세,원룸,"2,000/60","25/25m², 3/4층, 북향",갈월동,37.5398,126.9673
11,11,디아뜨센트럴 1동,월세,오피스텔,"1,000/67","49A/25m², 고/15층, 서향",갈월동,37.5398,126.9673
12,12,채원 1동,월세,오피스텔,"1,000/85","44D/22m², 고/18층, 남서향",갈월동,37.5398,126.9673
13,13,일반원룸,월세,원룸,"2,000/60","41/41m², 3/5층, 북서향",갈월동,37.5398,126.9673
14,14,디아뜨센트럴 1동,월세,오피스텔,"1,000/75","73/37m², 고/15층, 남서향",갈월동,37.5398,126.9673
15,15,일반원룸,월세,원룸,"1,000/50","23/23m², 1/4층, 서향",갈월동,37.5398,126.9673
16,16,일반원룸,월세,원룸,"1,000/50","31/31m², 1/4층, 서향",갈월동,37.5398,126.9673
17,17,일반원룸,월세,원룸,"1,000/45","17/17m², 저/3층, 서향",갈월동,37.5398,126.9673
0,0,그린빌파크 1동,월세,오피스텔,"1,000/75","66B/41m², 5/5층, 북동향",남영동,37.545742,126.974775
1,1,단독,월세,단독/다가구,"1,000/55","30/30m², 1/1층, 동향",남영동,37.545742,126.974775
2,2,빌라,월세,빌라,"1,000/60","89/25m², 4/4층, 북서향",남영동,37.545742,126.974775
3,3,그린빌파크 1동,월세,오피스텔,"1,000/55","37A/23m², 4/5층, 남향",남영동,37.545742,126.974775
4,4,갈월에이트리움-고려 1동,월세,오피스텔,"1,000/80","60C/34m², 중/21층, 북동향",남영동,37.545742,126.974775
5,5,일반원룸,월세,원룸,"1,000/50","21/21m², 2/4층, 북향",남영동,37.545742,126.974775
6,6,그린빌파크 1동,월세,오피스텔,"1,000/65","39B/24m², 고/5층, 북향",남영동,37.545742,126.974775
7,7,갈월에이트리움-고려 1동,월세,오피스텔,"1,000/80","60A/33m², 고/21층, 북동향",남영동,37.545742,126.974775
8,8,그린빌파크 1동,월세,오피스텔,"1,000/55","37A/23m², 4/5층, 남향",남영동,37.545742,126.974775
9,9,그린빌파크 1동,월세,오피스텔,"1,000/65","39B/24m², 4/5층, 북동향",남영동,37.545742,126.974775
10,10,갈월에이트리움-고려 1동,월세,오피스텔,"1,000/85","60A/33m², 중/21층, 북동향",남영동,37.545742,126.974775
11,11,그린빌파크 1동,월세,오피스텔,"1,000/65","39B/24m², 고/5층, 남향",남영동,37.545742,126.974775
12,12,그린빌파크 1동,월세,오피스텔,"1,000/67","40/24m², 중/5층, 북동향",남영동,37.545742,126.974775
13,13,일반원룸,월세,원룸,500/50,"24/24m², 고/5층, 남동향",남영동,37.545742,126.974775
14,14,갈월에이트리움-고려 1동,월세,오피스텔,"9,000/50","55A/30m², 고/21층, 동향",남영동,37.545742,126.974775
15,15,일반원룸 준 하우스,월세,원룸,"1,000/75","36/33m², 3/5층, 서향",남영동,37.545742,126.974775
16,16,일반원룸 그린텔,월세,원룸,"4,000/60","36/36m², 2/5층, 남향",남영동,37.545742,126.974775
0,0,일반원룸,월세,원룸,"2,000/65","41/41m², 2/4층, 북동향",원효로1가,37.5398,126.9673
1,1,일반원룸,월세,원룸,"2,000/40","32/27m², 저/4층, 북향",원효로1가,37.5398,126.9673
2,2,다가구,월세,단독/다가구,"1,000/75","61/30m², 2/3층, 남향",원효로1가,37.5398,126.9673
3,3,디아뜨센트럴 1동,월세,오피스텔,1억/30,"49A/25m², 고/15층, 남서향",원효로1가,37.5398,126.9673
4,4,디아뜨센트럴 1동,월세,오피스텔,"1,000/65","50C/25m², 저/15층, 남동향",원효로1가,37.5398,126.9673
5,5,디아뜨센트럴 1동,월세,오피스텔,"1,000/65","50C/25m², 13/15층, 남동향",원효로1가,37.5398,126.9673
6,6,용산더프라임(주상복합) 103동,월세,아파트,"3,000/180","54/38m², 저/36층, 남향",원효로1가,37.5398,126.9673
7,7,일반원룸,월세,원룸,"1,000/45","28/28m², 1/4층, 북동향",원효로1가,37.5398,126.9673
8,8,일반원룸,월세,원룸,"1,000/45","18/18m², 2/3층, 남동향",원효로1가,37.5398,126.9673
9,9,디아뜨센트럴 1동,월세,오피스텔,"1억 7,000/22","73/37m², 중/15층, 서향",원효로1가,37.5398,126.9673
10,10,일반원룸,월세,원룸,"2,000/60","25/25m², 3/4층, 북향",원효로1가,37.5398,126.9673
11,11,디아뜨센트럴 1동,월세,오피스텔,"1,000/67","49A/25m², 고/15층, 서향",원효로1가,37.5398,126.9673
12,12,채원 1동,월세,오피스텔,"1,000/85","44D/22m², 고/18층, 남서향",원효로1가,37.5398,126.9673
13,13,일반원룸,월세,원룸,"2,000/60","41/41m², 3/5층, 북서향",원효로1가,37.5398,126.9673
14,14,디아뜨센트럴 1동,월세,오피스텔,"1,000/75","73/37m², 고/15층, 남서향",원효로1가,37.5398,126.9673
15,15,일반원룸,월세,원룸,"1,000/50","23/23m², 1/4층, 서향",원효로1가,37.5398,126.9673
16,16,일반원룸,월세,원룸,"1,000/50","31/31m², 1/4층, 서향",원효로1가,37.5398,126.9673
