,Unnamed: 0,거주유형,거래방식,거주유형.1,시세,스펙,위치,lat,lon
0,0,일반원룸,월세,원룸,"2,000/50","29/29m², 4/4층, 북서향",한강로1가,37.5362,126.973488
0,0,단독,월세,단독/다가구,"3,000/80","45/41m², 1/1층, 동향",청파동2가,37.5462,126.9667
1,1,다가구,월세,단독/다가구,"3,000/50","30/30m², 1/2층, 남향",청파동2가,37.5462,126.9667
2,2,빌라,월세,빌라,"3,000/100","48/40m², 4/4층, 남서향",청파동2가,37.5462,126.9667
3,3,다가구,월세,단독/다가구,"9,000/60","40/40m², 2/4층, 동향",청파동2가,37.5462,126.9667
0,0,빌라,월세,빌라,"2억 5,000/40","38/29m², 5/5층, 북동향",원효로1가,37.5398,126.9673
1,1,빌라,월세,빌라,"2억 3,500/3","35/29m², 저/5층, 서향",원효로1가,37.5398,126.9673
2,2,빌라,월세,빌라,"2억 3,500/3","55/29m², 1/5층, 남동향",원효로1가,37.5398,126.9673
3,3,빌라,월세,빌라,"2억 3,500/3","40/29m², 저/5층, 북동향",원효로1가,37.5398,126.9673
4,4,빌라,월세,빌라,"2억 3,500/3","152/29m², 저/5층, 남동향",원효로1가,37.5398,126.9673
5,5,빌라,월세,빌라,"2억 5,000/40","38/29m², 3/5층, 남동향",원효로1가,37.5398,126.9673
6,6,빌라,월세,빌라,2억/60,"38/29m², 2/5층, 북동향",원효로1가,37.5398,126.9673
7,7,빌라,월세,빌라,"2억 3,500/3","29/29m², 1/5층, 남서향",원효로1가,37.5398,126.9673
8,8,빌라,월세,빌라,1억/65,"58/48m², 4/4층, 남향",원효로1가,37.5398,126.9673
9,9,빌라,월세,빌라,"2억 3,500/3","55/29m², 저/5층, 동향",원효로1가,37.5398,126.9673
10,10,빌라,월세,빌라,"2억 3,500/3","55/29m², 저/5층, 남서향",원효로1가,37.5398,126.9673
11,11,빌라,월세,빌라,"2억 3,500/3억 1,800","55/29m², 1/4층, 남동향",원효로1가,37.5398,126.9673
